"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"54" 1 1 1 "54" 1 1 1
"55" 1 1 1 "55" 1 1 1
"56" 1 1 1 "56" 1 1 1
"57" 1 1 1 "57" 1 1 1
"58" 1 1 1 "58" 1 1 1
"59" 1 1 1 "59" 1 1 1
"86" 1 1 1 "86" 1 1 1
"87" 1 1 1 "87" 1 1 1
"88" 1 1 1 "88" 1 1 1
"90" 1 1 1 "90" 1 1 1
"91" 1 1 1 "91" 1 1 1
"92" 1 1 1 "92" 1 1 1
"118" 1 1 1 "118" 1 1 1
"119" 1 1 1 "119" 1 1 1
"120" 1 1 1 "120" 1 1 1
"121" 1 1 1 "121" 1 1 1
"122" 1 1 1 "122" 1 1 1
"123" 1 1 1 "123" 1 1 1
"124" 1 1 1 "124" 1 1 1
"125" 1 1 1 "125" 1 1 1
"152" 1 1 1 "152" 1 1 1
"153" 1 1 1 "153" 1 1 1
"154" 1 1 1 "154" 1 1 1
"155" 1 1 1 "155" 1 1 1
"156" 1 1 1 "156" 1 1 1
"157" 1 1 1 "157" 1 1 1
"158" 1 1 1 "158" 1 1 1
"159" 1 1 1 "159" 1 1 1
"184" 1 1 1 "184" 1 1 1
"185" 1 1 1 "185" 1 1 1
"186" 1 1 1 "186" 1 1 1
"187" 1 1 1 "187" 1 1 1
"188" 1 1 1 "188" 1 1 1
"189" 1 1 1 "189" 1 1 1
"190" 1 1 1 "190" 1 1 1
"191" 1 1 1 "191" 1 1 1
"192" 1 1 1 "192" 1 1 1
"217" 1 1 1 "217" 1 1 1
"218" 1 1 1 "218" 1 1 1
"219" 1 1 1 "219" 1 1 1
"220" 1 1 1 "220" 1 1 1
"221" 1 1 1 "221" 1 1 1
"222" 1 1 1 "222" 1 1 1
"223" 1 1 1 "223" 1 1 1
"224" 1 1 1 "224" 1 1 1
"225" 1 1 1 "225" 1 1 1
"226" 1 1 1 "226" 1 1 1
"249" 1 1 1 "249" 1 1 1
"250" 1 1 1 "250" 1 1 1
"251" 1 1 1 "251" 1 1 1
"252" 1 1 1 "252" 1 1 1
"253" 1 1 1 "253" 1 1 1
"254" 1 1 1 "254" 1 1 1
"255" 1 1 1 "255" 1 1 1
"256" 1 1 1 "256" 1 1 1
"257" 1 1 1 "257" 1 1 1
"258" 1 1 1 "258" 1 1 1
"259" 1 1 1 "259" 1 1 1
"281" 1 1 1 "281" 1 1 1
"282" 1 1 1 "282" 1 1 1
"283" 1 1 1 "283" 1 1 1
"284" 1 1 1 "284" 1 1 1
"285" 1 1 1 "285" 1 1 1
"286" 1 1 1 "286" 1 1 1
"287" 1 1 1 "287" 1 1 1
"288" 1 1 1 "288" 1 1 1
"289" 1 1 1 "289" 1 1 1
"290" 1 1 1 "290" 1 1 1
"291" 1 1 1 "291" 1 1 1
"292" 1 1 1 "292" 1 1 1
"293" 1 1 1 "293" 1 1 1
"313" 1 1 1 "313" 1 1 1
"314" 1 1 1 "314" 1 1 1
"315" 1 1 1 "315" 1 1 1
"316" 1 1 1 "316" 1 1 1
"317" 1 1 1 "317" 1 1 1
"318" 1 1 1 "318" 1 1 1
"319" 1 1 1 "319" 1 1 1
"320" 1 1 1 "320" 1 1 1
"321" 1 1 1 "321" 1 1 1
"322" 1 1 1 "322" 1 1 1
"323" 1 1 1 "323" 1 1 1
"324" 1 1 1 "324" 1 1 1
"325" 1 1 1 "325" 1 1 1
"345" 1 1 1 "345" 1 1 1
"346" 1 1 1 "346" 1 1 1
"347" 1 1 1 "347" 1 1 1
"348" 1 1 1 "348" 1 1 1
"349" 1 1 1 "349" 1 1 1
"350" 1 1 1 "350" 1 1 1
"351" 1 1 1 "351" 1 1 1
"352" 1 1 1 "352" 1 1 1
"354" 1 1 1 "354" 1 1 1
"355" 1 1 1 "355" 1 1 1
"356" 1 1 1 "356" 1 1 1
"357" 1 1 1 "357" 1 1 1
"358" 1 1 1 "358" 1 1 1
"378" 1 1 1 "378" 1 1 1
"379" 1 1 1 "379" 1 1 1
"380" 1 1 1 "380" 1 1 1
"381" 1 1 1 "381" 1 1 1
"382" 1 1 1 "382" 1 1 1
"383" 1 1 1 "383" 1 1 1
"384" 1 1 1 "384" 1 1 1
"385" 1 1 1 "385" 1 1 1
"387" 1 1 1 "387" 1 1 1
"388" 1 1 1 "388" 1 1 1
"389" 1 1 1 "389" 1 1 1
"390" 1 1 1 "390" 1 1 1
"411" 1 1 1 "411" 1 1 1
"412" 1 1 1 "412" 1 1 1
"413" 1 1 1 "413" 1 1 1
"414" 1 1 1 "414" 1 1 1
"415" 1 1 1 "415" 1 1 1
"416" 1 1 1 "416" 1 1 1
"417" 1 1 1 "417" 1 1 1
"418" 1 1 1 "418" 1 1 1
"419" 1 1 1 "419" 1 1 1
"420" 1 1 1 "420" 1 1 1
"421" 1 1 1 "421" 1 1 1
"422" 1 1 1 "422" 1 1 1
"423" 1 1 1 "423" 1 1 1
"424" 1 1 1 "424" 1 1 1
"437" 1 1 2 "437" 1 2 2
"438" 1 1 2 "438" 1 2 2
"439" 1 1 2 "439" 1 2 2
"444" 1 1 2 "444" 1 2 2
"445" 1 1 1 "445" 1 1 1
"446" 1 1 1 "446" 1 1 1
"447" 1 1 1 "447" 1 1 1
"448" 1 1 1 "448" 1 1 1
"449" 1 1 1 "449" 1 1 1
"450" 1 1 1 "450" 1 1 1
"451" 1 1 1 "451" 1 1 1
"452" 1 1 1 "452" 1 1 1
"454" 1 1 1 "454" 1 1 1
"455" 1 1 1 "455" 1 1 1
"456" 1 1 1 "456" 1 1 1
"457" 1 1 1 "457" 1 1 1
"469" 1 1 2 "469" 1 2 2
"470" 1 1 2 "470" 1 2 3
"471" 1 1 2 "471" 1 2 2
"472" 1 1 2 "472" 1 2 2
"473" 1 1 1 "473" 1 1 1
"477" 1 1 2 "477" 1 2 2
"478" 1 1 1 "478" 1 1 1
"479" 1 1 1 "479" 1 1 1
"480" 1 1 1 "480" 1 1 1
"481" 1 1 1 "481" 1 1 1
"482" 1 1 1 "482" 1 1 1
"483" 1 1 1 "483" 1 1 1
"484" 1 1 1 "484" 1 1 1
"485" 1 1 1 "485" 1 1 1
"487" 1 1 1 "487" 1 1 1
"488" 1 1 1 "488" 1 1 1
"489" 1 1 1 "489" 1 1 1
"490" 1 1 1 "490" 1 1 1
"503" 1 1 2 "503" 1 2 3
"504" 1 1 2 "504" 1 2 2
"505" 1 1 2 "505" 1 2 2
"506" 1 1 2 "506" 1 2 2
"511" 1 1 1 "511" 1 1 1
"512" 1 1 1 "512" 1 1 1
