"value" "x" "y"
"23" 23 4850000 5350000
"24" 24 4950000 5350000
"25" 25 5050000 5350000
"54" 54 4650000 5250000
"55" 55 4750000 5250000
"56" 56 4850000 5250000
"57" 57 4950000 5250000
"58" 58 5050000 5250000
"59" 59 5150000 5250000
"86" 86 4550000 5150000
"87" 87 4650000 5150000
"88" 88 4750000 5150000
"89" 89 4850000 5150000
"90" 90 4950000 5150000
"91" 91 5050000 5150000
"92" 92 5150000 5150000
"118" 118 4450000 5050000
"119" 119 4550000 5050000
"120" 120 4650000 5050000
"121" 121 4750000 5050000
"122" 122 4850000 5050000
"123" 123 4950000 5050000
"124" 124 5050000 5050000
"125" 125 5150000 5050000
"152" 152 4550000 4950000
"153" 153 4650000 4950000
"154" 154 4750000 4950000
"155" 155 4850000 4950000
"156" 156 4950000 4950000
"157" 157 5050000 4950000
"158" 158 5150000 4950000
"159" 159 5250000 4950000
"184" 184 4450000 4850000
"185" 185 4550000 4850000
"186" 186 4650000 4850000
"187" 187 4750000 4850000
"188" 188 4850000 4850000
"189" 189 4950000 4850000
"190" 190 5050000 4850000
"191" 191 5150000 4850000
"192" 192 5250000 4850000
"217" 217 4450000 4750000
"218" 218 4550000 4750000
"219" 219 4650000 4750000
"220" 220 4750000 4750000
"221" 221 4850000 4750000
"222" 222 4950000 4750000
"223" 223 5050000 4750000
"224" 224 5150000 4750000
"225" 225 5250000 4750000
"226" 226 5350000 4750000
"249" 249 4350000 4650000
"250" 250 4450000 4650000
"251" 251 4550000 4650000
"252" 252 4650000 4650000
"253" 253 4750000 4650000
"254" 254 4850000 4650000
"255" 255 4950000 4650000
"256" 256 5050000 4650000
"257" 257 5150000 4650000
"258" 258 5250000 4650000
"259" 259 5350000 4650000
"281" 281 4250000 4550000
"282" 282 4350000 4550000
"283" 283 4450000 4550000
"284" 284 4550000 4550000
"285" 285 4650000 4550000
"286" 286 4750000 4550000
"287" 287 4850000 4550000
"288" 288 4950000 4550000
"289" 289 5050000 4550000
"290" 290 5150000 4550000
"291" 291 5250000 4550000
"292" 292 5350000 4550000
"293" 293 5450000 4550000
"313" 313 4150000 4450000
"314" 314 4250000 4450000
"315" 315 4350000 4450000
"316" 316 4450000 4450000
"317" 317 4550000 4450000
"318" 318 4650000 4450000
"319" 319 4750000 4450000
"320" 320 4850000 4450000
"321" 321 4950000 4450000
"322" 322 5050000 4450000
"323" 323 5150000 4450000
