"as.dist(bd)" "pval" "rsquared" "type"
"Int" 1.07 1 0.44 "TBD"
"min_max_norm(dist(predictors2$RC1))" -4.2 0.001 0.44 "TBD"
"min_max_norm(dist(predictors2$RC2))" 4.76 0.001 0.44 "TBD"
"min_max_norm(dist(predictors2$RC3))" 7.07 0.001 0.44 "TBD"
"min_max_norm(dist(predictors2$ph))" 1.92 0.001 0.44 "TBD"
"min_max_norm(as.dist(min_max_norm(geo[, -c(1)])))" 2.97 0.001 0.44 "TBD"
"Int1" 0.61 1 0.4 "All trait dimensions"
"min_max_norm(dist(predictors2$RC1))1" -2.62 0.001 0.4 "All trait dimensions"
"min_max_norm(dist(predictors2$RC2))1" 3.61 0.001 0.4 "All trait dimensions"
"min_max_norm(dist(predictors2$RC3))1" 4.83 0.001 0.4 "All trait dimensions"
"min_max_norm(dist(predictors2$ph))1" 0.92 0.001 0.4 "All trait dimensions"
"min_max_norm(as.dist(min_max_norm(geo[, -c(1)])))1" 1.42 0.001 0.4 "All trait dimensions"
"Int2" 0.21 1 0.14 "LES"
"min_max_norm(dist(predictors2$RC1))2" -0.42 0.005 0.14 "LES"
"min_max_norm(dist(predictors2$RC2))2" 0.35 0.003 0.14 "LES"
"min_max_norm(dist(predictors2$RC3))2" 1.27 0.001 0.14 "LES"
"min_max_norm(dist(predictors2$ph))2" 0.23 0.001 0.14 "LES"
"min_max_norm(as.dist(min_max_norm(geo[, -c(1)])))2" 0.8 0.001 0.14 "LES"
"Int3" 0.34 1 0.09 "RES"
"min_max_norm(dist(predictors2$RC1))3" -0.28 0.032 0.09 "RES"
"min_max_norm(dist(predictors2$RC2))3" 0.37 0.001 0.09 "RES"
"min_max_norm(dist(predictors2$RC3))3" 1.1 0.001 0.09 "RES"
"min_max_norm(dist(predictors2$ph))3" 0.28 0.001 0.09 "RES"
"min_max_norm(as.dist(min_max_norm(geo[, -c(1)])))3" 0.43 0.001 0.09 "RES"
"Int4" 0.08 1 0.22 "PWSM"
"min_max_norm(dist(predictors2$RC1))4" -1.13 0.001 0.22 "PWSM"
"min_max_norm(dist(predictors2$RC2))4" 1.31 0.001 0.22 "PWSM"
"min_max_norm(dist(predictors2$RC3))4" 1.79 0.001 0.22 "PWSM"
"min_max_norm(dist(predictors2$ph))4" 0.19 0.003 0.22 "PWSM"
"min_max_norm(as.dist(min_max_norm(geo[, -c(1)])))4" 0.55 0.001 0.22 "PWSM"
"Int5" 0.2 1 0.23 "PH"
"min_max_norm(dist(predictors2$RC1))5" -0.89 0.001 0.23 "PH"
"min_max_norm(dist(predictors2$RC2))5" 2 0.001 0.23 "PH"
"min_max_norm(dist(predictors2$RC3))5" 2 0.001 0.23 "PH"
"min_max_norm(dist(predictors2$ph))5" 0.27 0.001 0.23 "PH"
"min_max_norm(as.dist(min_max_norm(geo[, -c(1)])))5" -0.27 0.008 0.23 "PH"
