"coef" "pvalue" "r2" "type"
"RC1" -0.414806098804598 0 0.29 "TBD"
"RC2" 5.31479415080238 0 0.34 "TBD"
"RC3" 4.70291742374284 0 0.35 "TBD"
"ph" 1.76470987672545 0 0.3 "TBD"
"RC11" -0.210199936641601 0 0.25 "All trait dimensions"
"RC21" 4.30707880066853 0 0.31 "All trait dimensions"
"RC31" 3.54326909792518 0 0.3 "All trait dimensions"
"ph1" 0.877301209979093 0 0.25 "All trait dimensions"
"RC12" 0.387010959704923 0 0.1 "LES"
"RC22" 0.434346298100547 0 0.1 "LES"
"RC32" 1.197889752462 0 0.13 "LES"
"ph2" 0.322171483594339 0 0.1 "LES"
"RC13" 0.700674854979563 0 0.06 "RES"
"RC23" 0.650078201168462 0 0.06 "RES"
"RC33" 1.78441391770376 0 0.08 "RES"
"ph3" 0.610450276173435 0 0.06 "RES"
"RC14" -0.341616815523124 0 0.14 "PWSM"
"RC24" 2.06590083709291 0 0.17 "PWSM"
"RC34" 1.49104807863025 0 0.16 "PWSM"
"ph4" 0.183272668422883 0 0.13 "PWSM"
"RC15" -0.0234502758763488 0.234 0.11 "TH"
"RC25" 2.94428979902445 0 0.18 "TH"
"RC35" 1.99328293818602 0 0.15 "TH"
"ph5" 0.29122707234968 0 0.11 "TH"
